subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_sulc,global_total_vertices,10_MMF11,11_MMF11,12_MMF11,13_MMF11,14_MMF11,1_MMF11,23_MMF11,24a_MMF11,24b_MMF11,24c_MMF11,24d_MMF11,25_MMF11,29_30_MMF11,2Ve_MMF11,2_1_MMF11,2_MMF11,31_MMF11,32_MMF11,3_MMF11,44_MMF11,45A_MMF11,46d_MMF11,46v_MMF11,5_MMF11,7A_MMF11,7B_MMF11,8_MMF11,9_46d_MMF11,9_46v_MMF11,9_MMF11,AIP_MMF11,AuditoryCore_MMF11,DP_MMF11,Entorhinal_MMF11,F1_MMF11,F2_MMF11,F3_MMF11,F4_MMF11,F5_MMF11,F6_MMF11,F7_MMF11,FST_MMF11,Gustatory_MMF11,HC_Amygdala_MMF11,IPa_MMF11,Insula_MMF11,LB_MMF11,LIP_MMF11,MB_MMF11,MIP_MMF11,MST_MMF11,MT_MMF11,OPAI_MMF11,OPRO_MMF11,PBc_MMF11,PBr_MMF11,PECg_MMF11,PGa_MMF11,PGm_MMF11,PIP_MMF11,PO_MMF11,Perirhinal_MMF11,Piriform_MMF11,ProM_MMF11,Prostriate_MMF11,S2_MMF11,STP_MMF11,TEO_MMF11,TE_MMF11,TH_TF_MMF11,TPt_MMF11,TemporalPole_MMF11,Unassigned_MMF11,V1_MMF11,V2_MMF11,V3A_MMF11,V3_MMF11,V4_MMF11,V4t_MMF11,VIP_MMF11
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.3572637140750885,32492,3.225971991199063,-1.563820194199004,-0.5867134038919837,-0.5208509998760165,-3.4915858107352897,6.199106233059496,-2.9322063226450994,0.7870333303251992,0.5000419239078959,-3.5427841648600094,-4.322581235481345,1.6788204041930537,1.6358451394583373,0.8011282109267389,-5.374394318513703,3.897376859168473,-1.5659962431951002,4.9469810497875395,0.11246609444640679,-3.712794839596072,5.599848177697924,-6.1797743000738,4.669066225053606,2.913223300741245,4.980672864116389,5.835467950999737,0.988982084886472,-6.082458110762314,6.180188045020287,4.522473704554651,-5.194851403727251,1.9808629399740998,0.3965728030026216,2.9141342200854288,-0.12088691099343722,-0.6361155860857772,3.458256698173025,-1.3949199428427077,3.32623477638973,4.837081987749446,4.22137106363249,-2.7524778472011286,-2.5340314752199142,0.0,3.5681872838512714,-4.7153035257274,5.765598395535387,-0.808579895797791,0.41860940248778694,-7.288439992142634,-6.695026458026125,-6.935750210299641,0.403025695681572,1.4409881122616115,3.4053798739731245,1.4106851543747743,-1.3963117223698647,-3.911416140219844,1.153786362512448,-2.1817223528745764,2.614025741717961,4.8104857971264545,1.6874641561230947,-6.32111872515794,-2.224475611953457,-5.234349535587059,-3.596897529066411,-0.5906708031602494,2.530216726780081,1.8937704846315033,-3.978652313315811,1.2633644275469322,-0.05177520970264538,-0.6341537666543897,0.06822489141560532,-4.776452729526035,-0.018922054487592366,1.2546246317133927,1.2869091836773618,-8.815537499477163
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.292793869972229,32492,3.826310802953775,-2.5091945518189194,-1.0309067110038912,-0.5104037247514143,-3.5130632604871477,6.017316063245137,-2.854637558831571,0.6323456328524195,0.5428359734515349,-3.7553476748446712,-4.070841203403214,2.4106552690616807,1.721878455075271,1.726518494465078,-6.170341433140269,3.6295120831162326,-1.2585319825871424,5.0347002122240765,-0.5655218354796302,-2.9329490728993366,4.522760925028059,-5.9296997782328855,4.827206844236793,2.9790031448897283,5.159322172948371,6.1200527049601074,1.029665729065979,-5.77651481225457,6.558060616713304,5.408374201761533,-5.071601968258619,1.7820048752539563,1.4620321925683348,3.7651630156445055,-0.11809969850903983,-0.672497479102042,3.6742420190324387,-0.8209791860676238,3.122490282060907,4.893135404044932,4.416538356697258,-2.5408833867373564,-2.451209830120206,0.0,3.9598677637592994,-4.453796375928525,5.357067972515168,-0.44579641432199363,-0.019926574792754784,-7.329780612912292,-6.999946135511765,-6.55847824081069,-0.2439054822921753,0.7360532502566582,3.1094515167873116,1.3360430344064784,-1.424354834854603,-3.7185275045401873,1.2575338973061128,-2.6829410454985836,2.659622358471383,6.3257035917165325,1.3082747651162998,-6.430709608900013,-1.7258887925005681,-4.955373292807974,-3.440695527077253,-0.56963412414317,2.4639273259884096,2.8064556246089354,-3.8827082722250803,1.1949922396354888,0.01048876246819728,-0.5838974620396247,0.14276593169862964,-4.879639772313865,0.05278615218467449,1.3357865146918457,1.3956788408056813,-8.181560347439678
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.3359239101409912,32492,2.750638570971118,-2.328872212293473,-0.6825426638996842,-0.5074943445790979,-3.5277996386841433,6.128195685968882,-2.765416919430853,0.6154559817489075,-0.0018065611024697622,-3.390026383553749,-4.224671089333361,2.2111280852385486,1.825033596388119,1.067688596357281,-5.855553842427438,3.7027655388351137,-1.125604293591371,5.514186905696988,-0.19480795010873309,-2.8706073366990643,4.835585161050161,-6.001764933700147,4.832835247649289,2.747881263542278,4.86613140984396,5.8970205582678314,1.2283815862435876,-5.770500743053328,6.457734757203323,4.21887722619082,-5.118739598522,2.1181966289021252,1.168170091888771,3.105665073677335,-0.18835558884551004,-0.6454381443294032,3.5073975644249846,-1.015989410990317,3.3388840568197122,4.722821416502649,4.424493100588458,-2.388108179072539,-2.4547334212547867,0.0,3.4968853203107173,-4.366596160233546,5.633647347843298,-0.7569643400783678,0.3483976703904541,-7.6313599075632865,-7.053487253332367,-6.660039603276543,0.018164507746696472,1.2848029878113973,3.191245503857866,1.6196279942932474,-1.1061489382758736,-3.8013446464183485,1.3621078638250337,-2.772193412453844,2.4102962297188144,6.216625632071982,1.5298519887665445,-6.310847590218729,-1.6662017103501767,-5.414062508021669,-3.4007230229196934,-0.818652356043458,2.5011785393857466,2.6275988224490017,-3.8490961247052136,1.2399144778308804,-0.009433417119032906,-0.6065266781281364,0.09613777815894667,-4.914181871363457,-0.031680123435494444,1.1601774074151445,1.229164189526013,-9.19344970015169
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.32494211196899414,32492,3.7840676656115555,-1.9396755838639697,-0.6917016048788686,-0.20339686042608174,-3.600358920601698,5.905978764393839,-2.7763803594812138,0.46114429442778876,0.5923938729365666,-3.425991343973669,-4.022796331702367,1.852378868490147,1.813343367046293,0.7798340410615007,-5.742561202300222,3.4984278547406,-1.406549198044972,5.1316541456617415,-0.18730832293170363,-3.033961248603907,5.262640068266127,-5.495721662579023,5.456416654203545,2.772147363154716,4.964778742202642,6.226436074823141,1.3033472516003268,-5.889435484375753,6.217371516044324,5.198131905434883,-4.8633799932751005,1.810120894241955,0.9820408268494467,3.1309279787278026,-0.08070665367729501,-0.6750191475514189,3.9226808748545423,-1.0966592206331414,3.1406342345563805,5.154831756245006,4.325748678249649,-2.5923913311958313,-2.8227303015301004,0.0,3.1309217146936046,-4.439941321465377,5.662726501977095,-0.6944244341323571,0.08848929797972409,-7.401179021892298,-7.146602944800487,-6.5745967753967385,0.4333030098676682,1.2902917035016648,3.375912188281733,1.5985720470149554,-1.0402942873362917,-4.161802296837171,1.2396927236634143,-2.40353825139372,2.6333900336345186,5.7132454599652975,1.8667756767380377,-6.470024466959398,-1.7730101513354768,-5.728219293323556,-3.706130121988651,-0.943462749423048,2.6493337773624295,2.789019470259391,-3.5375590530725627,1.236427590623498,-0.012338729321145768,-0.6297343949869753,-0.04320441931922623,-4.706589030270326,0.21960087714225318,1.3328531933372252,1.1313608173204928,-8.457576541215865
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.2792869806289673,32492,3.8337422193524366,-2.3796192681819033,-0.8454315047740899,-0.46241111207501334,-3.6163490680506922,6.280232683040094,-2.732267523058572,0.7843722169813903,0.531356211702029,-3.824326924071807,-4.338801168806284,2.1342766932211816,1.670660617596963,1.960961978804941,-5.884870844974852,3.736157249830859,-1.4598893023124246,4.887906023134024,-0.2406796493439948,-3.096607794232191,4.7925508406427175,-5.359911388758084,5.485409852344452,2.9752726399240097,4.964131171899763,6.155692183723052,1.0720870001486649,-5.588947391845811,6.677416585041926,5.275327212189975,-5.013928723393702,1.7206790548801985,1.0086227311624278,3.5507824289665186,0.07359747742168575,-0.6162224350264296,3.8388438993606013,-0.8625756549937207,3.377795852659106,4.881350945342671,4.349147205111347,-2.137483219181498,-2.1086126817390323,0.0,3.7075554262939376,-4.430414752731047,5.298459475431358,-0.6447600794500962,0.07131203679779495,-7.428849479625698,-6.789886420334761,-6.554370716217465,-0.2117197561264038,1.2783251244752303,3.42040444588339,1.2102046572525083,-1.0637345721246674,-3.6165869954629994,1.274435346255846,-2.49546516782648,2.777956799176973,6.317280219525707,1.8367672078600226,-6.402725492840383,-2.1891977575528245,-5.061959239296238,-3.4057144712638694,-0.8877873744138263,2.535946240595847,2.772166732907087,-3.6918706864309616,1.0144662390118593,0.0711184395840744,-0.6230695821983273,0.027919310421149243,-4.805530732124053,0.08333635550021233,1.3156087661307412,0.6416002998166547,-8.639592980383007
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.3232969045639038,32492,3.872882132504894,-2.1789619434116916,-0.7992031274043256,-0.4231863027452526,-3.457398137630342,6.3417522164898505,-2.9522966693404347,0.6748307494689589,-0.06255041241645813,-3.444258592784132,-4.12946874412465,1.9320806784089655,1.8487409154117547,0.788378301775083,-5.775678166171961,3.7246779004222175,-1.4924843172458084,5.484493114197483,-0.016341877252195183,-3.105160134745405,5.104963794019487,-5.319822374245395,5.334114207022982,2.8295643766579426,5.201710402886172,6.008536680291097,1.0610538864774364,-5.884350254082344,6.203870025277138,4.573781941928072,-4.911827888266713,1.639023640034896,0.9928121103359193,2.835140829238127,0.06295300899495068,-0.5811474949836598,4.065102929330391,-0.7450401437956662,3.2121977967429247,5.56072030284188,4.3916767172373925,-2.463202181396385,-2.3807616896616914,0.0,3.7141537592834353,-4.454906735119646,5.571598649757552,-0.7597372407110501,-0.04401881803064311,-7.623172932882991,-7.008330272138119,-6.745117368406536,-0.039112672209739685,0.8919375421973306,3.062836960260127,1.4687983619745906,-1.0453446892090141,-3.5362950943885965,1.269506571545978,-2.434958793924621,2.416861495843938,4.9731505253181165,1.5546732794984366,-6.410958330577879,-2.3061148281388753,-5.3314060044262135,-3.49298977658329,-0.5032078034153764,2.7636208727796623,2.0541644404069164,-4.029720626962491,1.5135712153444143,-0.020613874009830953,-0.7212858974705617,0.05945399855183422,-4.701342324357718,-0.024919005533155805,1.2585498213478576,1.314448526927403,-8.68422469496727
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.36372125148773193,32492,3.51483049800112,-1.9204607501160353,-0.5659188648417264,-0.7240346134605264,-3.4117038216375346,6.170504142192827,-2.684282287647002,0.585174095492972,0.026359749138355256,-3.748397384702017,-4.254103401893467,1.6635910409580295,1.8443164588226115,0.34128118058045703,-5.431917722287931,3.7067198273113093,-1.3849458678089308,5.3656320301457665,-0.03132492888795391,-3.7477130202959614,4.8509997791714135,-5.399661275679651,5.474724792489192,2.657233540580799,5.124217386653816,6.121949727833271,1.182556085442578,-5.775986865372725,6.373722879703228,5.287294590411937,-5.183145437170477,2.1697028640719167,1.1885448833766938,3.432275649540876,-0.055129785532967296,-0.7075667101449133,3.783243995277967,-1.4718397492099375,3.098382074769367,4.983959913253784,3.9761816857359076,-2.625719042979181,-2.637637204180161,0.0,3.229445263401684,-4.553531174128219,5.62383350680064,-0.6853488017531002,0.26836090085658243,-7.610200066420466,-6.9793374262750145,-6.500146940192848,-0.0029672986268997194,1.3647571966921632,3.251074781322533,1.2016397180561802,-1.458088790345937,-4.178249025704168,1.0592873328310601,-2.743267942653386,2.5892243763842666,5.798375737910368,1.9369087231944697,-6.3683247292629765,-2.413437412124578,-5.599616120292941,-3.7524613754859315,-0.6509376447720381,2.453367750420894,2.426428096049784,-4.028125791117931,1.1341789571083571,-0.036873024420471925,-0.759160289180986,0.16388121817505827,-5.034825942831787,0.052703522236608874,1.0850077650294228,1.678444012201258,-9.086890630594647
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.3530172109603882,32492,3.7979070318940873,-2.3325030141859315,-0.8423949284849435,-0.2569462085576882,-3.541067507752514,5.8871360026245965,-2.917881745507236,0.683956599612113,0.2401164655139049,-3.4746289135175874,-4.237267025139021,2.1528572832273007,1.7779356543769074,1.4562454880215228,-5.91644911598741,3.438857701827625,-1.6549235848201946,5.060815506996826,-0.3610008313990364,-2.867657073951782,5.322839156786601,-5.482235061085743,5.168522942175225,2.838233115284716,4.969858214751267,6.018730588257313,1.112380274123323,-5.762895149244389,6.407537190730755,4.68038875451439,-5.279251861586874,1.8503640344419148,0.5865674525627802,3.2525566618789994,-0.290270411775068,-0.6442996543886174,3.7661416949569313,-1.0689181408711843,3.198780900798738,4.5685417719862675,4.157912180393557,-2.6786687999715406,-2.6695122095601014,0.0,3.4956564370366694,-4.468632929121524,5.371993604408398,-0.5660343088763085,0.34107828104767374,-7.428179440963449,-7.155167130208932,-6.592341862986853,0.1758376355469227,1.0379700084880652,3.474536728147451,1.2679828605579055,-1.0817239589989185,-4.078315348067182,1.130990998425028,-2.675705126819518,2.639876475289269,6.114428242858575,1.6402806907805592,-6.473552860430817,-1.7479884654300228,-5.415530338018009,-3.8029640000009954,-0.5689195713330689,2.5877461383779834,2.72393216901309,-3.7831155772511966,1.1072547822858985,-0.0018655558113796103,-0.6304733793793172,0.049729908801521575,-4.837173507362604,0.16508640907937144,1.24152527135096,1.1893711649641698,-8.769848270498159
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.3854462504386902,32492,3.2069422667790315,-3.188236582346938,-0.4643135016297244,0.06396648439025521,-3.859604386715116,5.604951659764123,-3.2511492661902053,0.44460974455527635,0.11802506466706594,-3.1995612438874708,-4.791885152459145,1.742069499004477,2.5087174194700577,2.3259427530380585,-6.960179521326433,3.6109756427866064,-2.0240965762147396,4.942262604734144,-0.7205495885420233,-2.5856180025647717,3.805043206943406,-4.8474608905532435,5.139054317277197,2.572405689068578,5.865277333523739,5.615908694515626,1.886108557441573,-6.669659937771273,5.694981270570022,3.421379589105714,-4.76992212674197,1.5825172369807678,1.162001851079022,3.197766307577397,0.15214643138863237,-0.42813506713220184,3.34953305626666,-1.6816924974499714,3.4525243478128687,5.316025826064023,4.22779784247845,-2.5664076253647607,-2.5834979248271943,0.0,4.248696994425646,-4.335948884959372,5.109749120071718,-1.5231747585861504,0.3203387511684821,-7.221361081670932,-5.660632874186223,-7.019925717822879,-0.3971299684047699,0.17328529508568305,3.1039086299705074,1.2357503824675355,-2.5411007496993987,-3.4996491081959813,1.0398660783601157,-1.0389102393363983,2.604863467646608,6.97328663358883,0.9698810468810474,-6.114831836254739,-2.0111408589132163,-5.718745124094423,-3.611164326552155,0.28140330283672776,2.2731104355673195,1.8221867740206368,-2.6379145140735765,1.4603244847732864,0.06624886941984413,-1.1673005893973813,0.08163282237733362,-4.17996384106735,0.45755034734695293,0.8957380230987263,0.8776005980159555,-9.31801943378594
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.38187074661254883,32492,3.5010120574786456,-3.2569709684572774,-1.3205425027831965,-0.9258311256990397,-3.7496158191217828,5.99419646397017,-2.8660757497376443,0.5086210489111103,-0.28299101086954276,-3.0730353526641068,-4.760374705428663,1.5514596773311495,2.507824578705956,1.450838191434741,-6.782830999608626,3.546291012053476,-1.6464000088586048,5.234806492082918,-0.5210633109451259,-2.955171103714734,2.4552386244138082,-5.086325854063034,4.764208758022727,2.5045339296028977,5.875641386495607,5.072941363664965,2.468745556502442,-6.897175896335655,5.619935552890484,3.8960978156465984,-4.968961225420821,1.380254708722515,1.1748526265266641,3.1031627398359136,0.3554623681906258,-0.17970679620546953,3.606677146648745,-1.9489496091292018,3.0281856637105675,6.0221928195519885,4.6337484551381465,-3.246871856028835,-3.409449228143785,0.0,3.615165341849351,-4.409967194657615,4.685175931728036,-1.5371051612078335,0.3981455096814516,-7.365760823484802,-5.998993471379464,-7.186945180781514,-0.32879338443279266,-0.6411084121463625,2.9474252616097263,1.1861871222446438,-2.4396224243100733,-4.2410789808482985,1.5507895040380604,-0.510286951834888,2.755146474982144,7.075497505616169,0.5696172822815503,-6.36990023660126,-2.324579952810912,-6.369758613463669,-3.7866338906995263,0.0017524778480073075,2.2289528046586504,2.206226775175208,-2.6628674118755717,1.1125249282342113,-0.07348906977854269,-0.8828624228161993,0.2697555970971197,-4.080347654423577,0.7498645561888191,0.9033441486452561,0.684257197279331,-9.881844833606982
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.4343162775039673,32492,3.4548113260886626,-3.0130450376309454,-0.5552019867278762,-0.4515854825678849,-3.8437647122152887,5.711914162488951,-3.3233583452857967,0.6102403271133485,-0.0656602155789733,-2.9263717734033254,-4.430692452451457,1.1651255141633252,2.7470213367658505,1.050253430614248,-6.152445880990279,3.4294355979532396,-2.013019483762257,5.560479699228054,-0.5384492294888382,-2.809746782724739,3.5580847508377498,-4.973842275592134,4.829048848597378,2.3614004815742575,5.381714992870746,4.9987213136938715,2.27015048501789,-6.916855499777995,5.527209964165321,3.641070283949375,-5.01012863660706,1.6339169570007626,0.9542047492517479,3.3420276780079745,0.2307811619309563,-0.3846757149722959,2.3577577694980563,-2.1314650552258607,3.3658669268188532,5.716314624656331,5.072595956959302,-3.36574768511268,-2.7245634008819857,0.0,3.8323000421219353,-4.409361751576964,5.123637079943174,-1.963668551967447,0.4264393712809023,-7.476996878613576,-6.0617204369117434,-7.3365737883443085,-0.3141488715261221,0.26563896372585005,2.8792791093724803,1.204074795848427,-2.8424849598668516,-3.8327541416841195,1.4530988364754354,-0.7985303460561007,2.4530897570395735,7.098981536164576,1.146018266100292,-5.75556672926047,-2.2769924854283374,-6.354761376724707,-3.49620149600376,0.4645495458373002,1.8507621569747967,2.4641572540117935,-2.005970819877126,1.0802216716569988,-0.02452117747301089,-0.9903234691678313,0.13724694183415906,-4.238800018843501,0.6109020100191995,1.059700624648552,-0.28940226335306557,-10.106669174805852
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.4101042151451111,32492,3.5892307028442088,-3.178350969154218,-0.7311372637526471,-0.5151563413945356,-3.974957387403145,5.724098375728489,-3.1475541230849697,0.4360352120888622,0.15483107440173627,-3.2616420556754897,-4.837683859078781,1.340197219218438,2.513494885143112,2.4924743149701194,-6.49668662589893,3.674802129549023,-2.492438567520091,4.915808158449065,-0.6330193223629453,-2.636578926519352,3.6288049346870848,-4.163713093097929,5.115793374354281,2.594975426686342,5.5310972399681555,5.288089488446713,2.1052585164298603,-6.716275754948737,5.664260255373441,3.7689852021500623,-4.332522253414579,1.6960933179411168,1.239057300355414,3.142408305309411,0.20768609872603322,-0.37219164833825613,2.9437278176023476,-1.943739931365209,3.362230085343232,4.924797345291484,4.480400850501241,-2.6682625458637874,-3.154158971088085,0.0,4.035110829240499,-4.281523768764488,5.261835329273567,-1.5945543004944358,0.373692132337263,-6.917785683101175,-5.8848003105475355,-7.14910643109214,-0.49767728835344316,-0.5993879711697938,2.459886742101328,0.9218440723555689,-3.0239291030913593,-3.468750887940116,0.7888071281123249,-0.9479551582682331,2.5816145796719208,6.571448588857845,0.7179426151768181,-6.2509717502033535,-2.7799732985116976,-6.103432418253635,-3.6773891904921734,0.11189034637305643,2.1865168179272993,1.825432120236223,-2.714098256278353,1.5818619938107998,-0.01804720757864063,-1.0090037313987774,0.1738126398884598,-4.08222335665784,0.39460840740007763,1.0003782043276217,0.06713591744096911,-9.815995103530302
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.356521874666214,32492,3.633125687676097,-3.2054381038654935,-0.7677505171900108,-0.6297930731977287,-3.5571164173166174,5.797257317904977,-3.1045588447972503,0.4992427343259687,-0.2340608385701974,-3.199805098417422,-4.650050625852916,1.5190235857502556,2.4715590669828305,1.6217246831705172,-6.490126028395536,3.598777377769645,-1.8204126122097175,4.915049307119961,-0.5095130787690311,-3.0252123175994723,2.820865156273875,-4.828483520237648,4.784610242741864,2.447653555719987,6.015608227399008,5.082641775906086,2.3908347139289057,-6.912975957695867,5.884559814746563,4.055980937631979,-4.540777699327936,1.5016299597040381,1.5836805332018513,3.209101862033958,0.25817999204807796,-0.3489036088584856,2.6864681106222714,-1.856561141532092,3.2901924518005483,6.139075495980003,4.471129108078872,-3.0481015239159266,-2.6416061621081703,0.0,4.034012236182963,-4.218242184356065,5.225896491384656,-2.192197319024648,0.41788427481490575,-7.230934516018764,-5.981146815232933,-7.1144990863859965,-0.2008319902420044,0.30797495146009307,2.745310341117081,1.198494962068232,-3.0632031630724668,-3.672862783497107,1.160488586752292,-0.6325625248841549,2.8616601960086894,6.69817565898506,1.0780701413173084,-5.531328480635116,-1.9354112170335958,-6.05303785258397,-3.393111637945838,0.31373391522022037,2.140014740296212,1.7086771596483625,-2.0643784318787928,1.5585388122151975,0.053490219761787146,-0.9899484976598196,0.26068332141682665,-4.256565567644986,0.6319403427471293,0.9695025060171318,0.7846337314885186,-9.700211750642033
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.4063018560409546,32492,3.5842423775863503,-3.3126103683290156,-0.809219514841309,-0.059689463424335294,-3.939254902180407,5.8436948437027745,-2.9433577459794273,0.6816656583839137,0.4758056020239989,-3.1104261710114556,-4.728313950740772,1.4114836454507895,2.455101587316569,2.694913583497206,-6.855646894689192,3.595111682153258,-1.8479579166424545,4.177116051841622,-0.6671614072489718,-3.112068900719602,4.198391602436701,-4.585979079260774,5.1990975938601105,2.4838593401132747,5.6522128477650275,5.366015973935524,2.112749907044568,-6.83784607430579,5.579843323047345,4.19877827876847,-4.48690984715872,1.6151158062670872,0.945708279530036,3.4154981973129996,0.3192043978901036,0.0558317417960747,2.9119749491683384,-1.6791314558968657,2.9859630860634807,5.405687565153295,4.652586720129357,-2.569277068081622,-3.069879518394979,0.0,4.041443576489515,-4.3363991147772945,5.107618280285073,-1.4753896921176357,0.4242119708478674,-7.114515678552591,-5.969802944491116,-7.155861465730154,-0.09867869973182679,0.24298410198152148,2.6226308715638815,1.0539463879611657,-2.6633618227671834,-3.5954324488944196,1.1703207377125235,-0.9833642678500419,2.5718577549448156,7.131923952881171,1.1118317258277142,-6.690480577411936,-1.9407759067297583,-6.10538897314523,-3.830766328922066,-0.09338269012605215,2.209031463670502,2.0213713129995377,-2.852976900907472,0.9528530818754679,0.0320919919604794,-1.1500307348884797,0.010347513685329112,-4.323116453467532,0.4714017192804215,1.22055078401153,0.06221323559174732,-9.715201388788588
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.44137638807296753,32492,3.3736498211538364,-2.643653293309564,-0.7462954743724285,-0.5095756012190106,-3.9640068549171583,5.829206550250882,-3.12587539268322,0.49116108712294826,-0.20377792542179426,-3.1639876354835264,-4.974929418252862,1.5638977385824546,2.328977758393568,1.765959068511923,-6.452236372127867,3.7337924511030955,-1.8549926804773735,4.796501219624845,-0.6533597814978087,-2.7555067898533867,4.174355165329245,-5.613018941134214,4.347227239845003,2.4527569995790426,5.402815593999218,5.139546726209422,1.9331217727910979,-6.6393677285859285,5.902199308688824,3.720076385834446,-4.448219280032551,1.3629594711621977,1.2318276002328714,3.229541709886735,0.2840547486756442,-0.04501422991577004,3.2838877157132695,-1.5267284649224686,3.4255701275371178,6.103460252285004,5.237671879650671,-3.1343841255207856,-3.1411011039357013,0.0,3.868099039401952,-4.601704718461129,5.049037251792941,-1.8498483299197654,0.3320264737313606,-7.567898487192437,-5.901932643010066,-7.250513471676139,-0.6577421927452087,-1.1122882917204369,3.4035268502460942,1.3540846016968935,-3.047574144229293,-3.6680728454961846,1.1479005636756912,-0.5436965150144621,2.8876995833684167,7.063759438845576,0.10685699973111004,-6.000506581877595,-2.060642449229104,-6.1788421038043895,-3.5343709550534466,0.08117523626363897,2.0755807460580273,1.233670392275586,-1.6525740642339373,1.2113807728590622,-0.040386072569122765,-1.1368907863445221,0.23289570335552867,-4.482372456101423,0.5223956713855613,0.8780638968641158,0.5671950306325239,-10.01161179287743
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,-0.45518043637275696,32492,3.5346765624321606,-3.0999848273667423,-0.6576602328065995,-0.0923774291225534,-3.622936675754877,5.496509270054167,-3.2319956450816583,0.4177360709189721,0.19826280675828456,-3.3039930955734897,-5.180664725925611,1.2514894551616937,2.3666442527490505,2.1953585317047932,-6.4073006437535875,3.4431128477628685,-1.7870010813190178,3.948046629006664,-1.001871157585554,-2.3804781449602004,4.165964428583781,-4.714280993718168,5.179703142425818,2.3452101707586603,5.4426788469427265,5.679487287004789,1.4314472649677104,-6.683792077319723,5.996219176512498,3.472824738909529,-4.813224093294611,1.441512665096319,0.6481043707643603,3.358644608197347,0.08038745908288922,-0.2481173947653068,2.602356687957502,-1.7282004820881411,3.239159074055565,5.697394620288502,4.185767201877706,-2.8312350193411113,-2.9161343596254787,0.0,4.18379766794283,-4.386702851531207,4.948890877879813,-1.6028307864700935,0.17156100312199038,-7.142882932955869,-6.168601916214595,-7.114461110553308,-0.23308756351470947,0.2047053472195541,2.9449932583616123,1.4030893782281693,-3.090393145149574,-3.4681220219490374,1.3085870981161647,-1.080749259709569,2.4111239113011216,7.208279833501699,1.1691432966049327,-6.390643672267003,-1.4980774655971558,-5.658709190294106,-3.522174704192163,0.10949676112308131,2.4666260505399253,2.3973855928654646,-2.9616604512557387,1.5611705233993596,0.03156555094829634,-1.463282156064703,0.05452792391174419,-4.1067619248115,0.4320939346226944,1.0677957771592699,0.5237620853799947,-9.441292751836412
